Month,Email/JIRA Date,Jira Key,Event type,Customer,Number of Customers,Event/Bulletin Title,Issue Type,Reason,Root Cause,Sub-type,Improvement VS Bug,Short Term Fix Status,Automation Opportunity,RCA Requested,Comments,Delay,Missed_Flag,Month_Sort,Delay (Hours),Reporting Month,Severity,Standard Automation Focus,RCA Details,Routed To
Jan 2026,09-Jan-2026,,Factory Fire,International Motor,1,INTERNATIONAL MOTOR: missed events,Complaint,Missed Event,Product,Keyword Update,Improvement,Fixed,Dynamic Source Discovery,No,Swedish keyword variation caused miss; variation added.,,Yes,1,,Jan 2026,Medium,Dynamic Source Discovery,,Product & Platform
Jan 2026,19-Jan-2026,,Protest/Riot,Eaton,1,Western Balkans Truckers Block Freight Borders,Complaint,Missed Event,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,No,Feed harvesting gap; WarRoom created after escalation.,,Yes,1,,Jan 2026,Medium,Dynamic Source Discovery,,Product & Platform
Jan 2026,21-Jan-2026,,Factory Closure,Ford,1,Stark Manufacturing closure,Complaint,Missed Event,Product,Event Identification,Improvement,Fixed,Customer link ingestion,No,Feed harvesting gap; WarRoom created after escalation.,,Yes,1,,Jan 2026,Medium,Other Control Automation,,Product & Platform
Jan 2026,26-Jan-2026,,Extreme Weather,Penske/Ford,2,Winter Storm Fern Geofencing,Complaint,Incorrect Action,People,Review,Improvement,Fixed,Validation automation,No,Geofence validation missed; regions updated after customer email.,6 hours,No,1,6,Jan 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
Feb 2026,04-Feb-2026,,Labor Disruption,Caterpillar,1,Spain railway strike escalation (initial NC trigger),Complaint,WarRoom should have been created but was not,People,Review,Improvement,Fixed,Process control strengthening + reviewer accountability,Yes,WarRoom should have been created at initial bulletin; failure attributed to publisher and reviewer. NC raised.,,Yes,2,,Feb 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
Feb 2026,06-Feb-2026,CAN-3242,Extreme Weather,Eaton,1,Winter Storm Fern – Event Not Visible on Supplier Portal for K Technologies (Eaton),Complaint,WarRoom not visible in customer profile,Product,Visibility,Improvement,Fixed,"Supplier-portal event visibility checks after an impact request is issued, so a delivered notification always has a matching visible event",No,"From Jira CAN-3242 (Resolved). The Winter Storm Fern event (customer-side 34360914, supplier-side 34399459) did not appear in the Events card or My Events on the supplier portal for K TECHNOLOGIES, even though a supplier impact was issued for Eaton and the supplier user received the notification. Portal visibility issue rather than a coverage miss.",,No,2,,Feb 2026,Medium,Notification Visibility Monitoring,,Product & Platform
Feb 2026,09-Feb-2026,,Bankruptcy,Schneider Electric,1,Insolvency event (supplier not captured),Complaint,Missed insolvency alert,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,Yes,Insolvency miss due to source gap; RCA finalized and shared with customer.,,Yes,2,,Feb 2026,Medium,Dynamic Source Discovery,,Product & Platform
Feb 2026,17-Feb-2026,,Geopolitical,Nestle Global,1,"""Update 7: US Armed Forces Capture Venezuelan President…""",Complaint,Severity / consolidation handling concern,Process,Strategy,Improvement,Clarification Provided,Severity logic transparency for API/control tower users,Yes,Customer questioned severity/consolidation handling; rationale explained for single-thread WarRoom approach.,,No,2,,Feb 2026,Medium,Other Control Automation,,EventWatch Ops - Nitin Rindhe
Feb 2026,20-Feb-2026,,Extreme Weather,Ford,1,Snowstorm Forecast Not Captured,Complaint,Missed Event,People,Event Identification,Improvement,Clarification Provided,Forecast classification logic,No,Snowstorm moved to monitoring incorrectly; decision explained to customer.,,Yes,2,,Feb 2026,Medium,Other Control Automation,,EventWatch Ops - Nitin Rindhe
Feb 2026,20-Feb-2026,,Labor Disruption,Caterpillar,1,Spain railway strike (event not converted to WarRoom),Complaint,WarRoom not created despite nationwide disruption,Product,Review,Improvement,Fixed,Escalation automation,Yes,AI classification bias + missed human escalation; WarRoom created after reassessment. NC issued.,,Yes,2,,Feb 2026,Medium,WarRoom & Decision Validation,,Product & Platform
Feb 2026,23-Feb-2026,,Geopolitical,Roche,1,"""Military Operation Against CJNG Cartel Triggers Multi-State Violence in Mexico""",Complaint,Coverage Verification Request,Process,Visibility,Improvement,Clarification Provided,Validation automation,Yes,Customer said event not reported; EW confirmed WarRoom already published and delivery verified.,,No,2,,Feb 2026,Medium,Notification Visibility Monitoring,,EventWatch Ops - Nitin Rindhe
Feb 2026,25-Feb-2026,,Leadership Transition,Eaton,1,"Duplicate WarRooms: ""Xometry Announces CEO Succession Plan"" + ""Xometry Appoints New CEO""",Complaint,Duplicate WarRooms,People,Duplication,Improvement,Fixed,Duplicate detection,Yes,Duplicate WarRooms created; control failure acknowledged. NC raised for decision-making gap.,,No,2,,Feb 2026,Medium,Cluster Integrity & Duplicate Prevention,,EventWatch Ops - Nitin Rindhe
Feb 2026,25-Feb-2026,CAN-3263,Other,Molex,1,Irrelevant Partner-Sourced Sites Appearing in Customer Portal (Molex),Complaint,Wrong Relevancy,Product,Mapping,Improvement,Fixed,Tenant isolation checks on site_shareable records so sites created against a demo org cannot surface in a production customer portal,No,"From Jira CAN-3263 (Closed). Molex is an EventWatch-only customer with no SCVs launched, so no sites should show with source Partner, yet ARROW ELECTRONICS - GBR BERKSHIRE READING appeared at Tier 1. The site_shareable record under the Molex tenant had its source_id mapped to the HITACHI ENERGY MAP demo org, so demo-org sites leaked into a production portal.",,No,2,,Feb 2026,Medium,Entity & Supplier Resolution,,Product & Platform
